Titulo,Genero,Sinopsis,Estado_de_Animo,Año
Stranger Things,Ciencia Ficción / Suspenso,Un grupo de amigos investiga la desaparición de un niño en un pueblo donde ocurren cosas extrañas.,"Misterio, Nostálgico, Emocionante",2016
Glass Onion,Comedia / Misterio,Un detective viaja a Grecia para resolver un misterio que involucra a un grupo de amigos millonarios.,"Divertido, Ingenioso, Intrigante",2022
The Irishman,Drama / Crimen,La vida de un sicario que trabaja para la mafia a lo largo de varias décadas.,"Serio, Reflexivo, Tenso",2019
La sociedad de la nieve,Drama / Supervivencia,"En 1972, un avión uruguayo se estrella en los Andes y los sobrevivientes deben luchar juntos para salir con vida.","Conmovedor, Tenso, Inspirador",2023
Dark,Ciencia Ficción / Misterio,La desaparición de dos niños en un pueblo alemán expone vínculos secretos entre cuatro familias y viajes en el tiempo.,"Intrigante, Complejo, Misterioso",2017
El agente nocturno,Acción / Suspenso,Un agente del FBI de bajo nivel que trabaja en el sótano de la Casa Blanca atiende una llamada que lo sumerge en una conspiración.,"Adrenalina, Entretenido, Emocionante",2023
Pinocho de Guillermo del Toro,Animación / Fantasía,Una reinvención oscura y musical en stop-motion del clásico cuento del niño de madera que cobra vida.,"Melancólico, Artístico, Conmovedor",2022
Sin novedad en el frente,Bélico / Drama,Las terroríficas experiencias y la angustia de un joven soldado alemán en el frente occidental durante la Primera Guerra Mundial.,"Crudo, Reflexivo, Triste",2022
Merlina,Comedia / Misterio,"Inteligente, sarcástica y un poco muerta por dentro, Merlina Addams investiga una ola de asesinatos en la Academia Nunca Más.","Divertido, Juvenil, Misterioso",2022
Beef (Bronca),Comedia Negra / Drama,Un incidente de furia al volante entre dos desconocidos desata una pelea que saca a relucir sus impulsos más oscuros.,"Irónico, Tenso, Adictivo",2023
Roma,Drama,Un retrato vívido y emotivo de la vida de una empleada doméstica en el México de los años setenta.,"Nostálgico, Lento, Artístico",2018
Uncut Gems (Diamantes en bruto),Suspenso / Crimen,Un carismático joyero de Nueva York hace una apuesta de alto riesgo que podría cambiar su vida para siempre.,"Estresante, Intenso, Caótico",2019
El juego del calamar,Suspenso / Drama,"Cientos de jugadores con problemas económicos aceptan una extraña invitación para competir en juegos infantiles por un premio millonario, pero el riesgo es mortal.","Sangriento, Adictivo, Impactante",2021
La Casa de Papel,Acción / Suspenso,Ocho ladrones toman rehenes y se encierran en la Real Casa de la Moneda de España mientras un cerebro criminal manipula a la policía.,"Inteligente, Intrépido, Emocionante",2017
Cobra Kai,Drama / Acción,"Décadas después del torneo que les cambió la vida, la rivalidad entre Johnny Lawrence y Daniel LaRusso se reaviva en esta secuela.","Nostálgico, Motivador, Entretenido",2018
El amor después del amor,Biográfico / Drama,"Una mirada íntima a la vida y carrera de Fito Páez, uno de los artistas más importantes del rock argentino y latinoamericano.","Emocional, Musical, Inspirador",2023
Nimona,Animación / Aventuras,Un caballero acusado de un crimen recurre a una adolescente con el poder de cambiar de forma para demostrar su inocencia.,"Divertido, Rebelde, Conmovedor",2023
Okja,Aventura / Drama,Una niña arriesga todo para evitar que una poderosa multinacional secuestre a su mejor amiga: una enorme y tierna criatura.,"Emotivo, Crítico, Aventurero",2017
Black Mirror: Bandersnatch,Ciencia Ficción / Suspenso,"En 1984, un joven programador empieza a dudar de la realidad mientras adapta una novela fantástica a un videojuego.","Psicológico, Raro, Atrapante",2018
A ciegas (Bird Box),Suspenso / Terror,"Cinco años después de que una presencia invisible impulse al suicidio a la mayoría de la sociedad, una sobreviviente busca un refugio con sus hijos.","Tenso, Desesperante, Emocionante",2018
